Sourness;Fruitiness;Sweetness;Saltiness;Preservatives;Alcohol%;Quality
9.1;0.24;2.1;0.078;28.0;10.3;1
9.9;0.24;2.4;0.077;33.0;9.4;0
8.1;0.24;2.1;0.084;13.0;10.7;1
12.9;0.49;5.8;0.066;35.0;12.0;1
11.2;0.74;5.15;0.1;17.0;11.2;0
9.2;0.24;3.3;0.101;47.0;9.6;0
9.5;0.49;6.3;0.064;17.0;11.0;1
9.3;0.24;2.1;0.07;20.0;9.9;0
11.2;0.24;2.5;0.085;53.0;11.0;1
14.3;0.74;1.8;0.075;15.0;8.4;1
9.1;0.49;2.6;0.094;106.0;9.1;0
7.5;0.24;2.0;0.078;28.0;9.5;1
10.6;0.49;2.5;0.067;21.0;10.7;1
12.4;0.49;2.6;0.079;69.0;10.4;1
9.0;0.49;1.9;0.171;25.0;9.4;1
6.8;0.01;2.1;0.074;25.0;9.5;1
9.4;0.24;2.8;0.092;45.0;10.0;1
9.5;0.24;2.7;0.092;44.0;10.0;1
5.0;0.24;1.6;0.05;96.0;11.5;0
15.5;0.49;4.2;0.095;23.0;11.1;0
15.5;0.49;4.2;0.095;23.0;11.1;0
10.9;0.49;4.6;0.118;17.0;11.7;1
15.6;0.49;4.2;0.095;23.0;11.1;0
10.9;0.49;4.6;0.118;17.0;11.7;1
13.0;0.49;4.3;0.085;47.0;12.7;1
12.7;0.49;2.8;0.075;19.0;11.4;0
9.0;0.49;2.4;0.078;121.0;9.2;0
9.0;0.49;2.9;0.094;110.0;9.2;0
7.6;0.49;2.7;0.092;60.0;10.1;1
13.0;0.49;4.3;0.085;47.0;12.7;1
12.7;0.49;2.8;0.075;19.0;11.4;0
8.7;0.24;2.5;0.226;15.0;9.0;1
8.7;0.24;2.5;0.226;15.0;9.0;1
9.8;0.49;2.6;0.25;20.0;10.7;1
6.2;0.24;2.2;0.095;42.0;11.7;1
11.5;0.49;3.3;0.07;37.0;11.0;1
6.2;0.24;2.2;0.095;42.0;11.7;1
10.2;0.49;2.4;0.075;28.0;10.4;0
10.5;0.49;2.1;0.07;47.0;9.6;0
10.6;0.49;3.2;0.078;78.0;10.0;1
12.3;0.49;3.1;0.079;46.0;10.2;1
9.9;0.24;2.3;0.103;14.0;10.0;0
8.8;0.49;2.8;0.083;111.0;9.5;0
8.8;0.49;2.9;0.085;110.0;9.8;0
10.6;0.49;2.2;0.063;40.0;9.8;1
12.3;0.49;2.2;0.089;14.0;9.6;0
12.3;0.49;2.2;0.089;14.0;9.6;0
11.7;0.49;2.2;0.083;15.0;9.2;0
12.0;0.49;1.9;0.074;21.0;9.9;1
11.8;0.49;3.4;0.093;80.0;10.7;1
7.6;0.24;2.4;0.091;38.0;9.6;1
11.1;0.49;2.7;0.094;47.0;10.6;1
7.3;0.24;1.9;0.108;102.0;9.3;0
5.0;0.24;2.0;0.06;50.0;14.0;1
10.2;0.49;2.6;0.059;13.0;10.5;1
9.0;0.49;2.6;0.084;75.0;9.7;0
6.6;0.49;1.7;0.07;149.0;11.5;1
9.0;0.49;2.6;0.084;75.0;9.7;0
9.9;0.58;3.5;0.094;43.0;9.0;0
7.9;0.17;2.6;0.096;38.0;9.5;0
8.9;0.41;7.9;0.086;109.0;9.3;0
12.4;0.51;2.0;0.059;24.0;9.3;1
11.9;0.58;1.9;0.071;18.0;10.0;1
8.5;0.18;2.1;0.078;30.0;9.8;1
12.7;0.45;2.3;0.082;22.0;9.3;1
8.2;0.27;2.1;0.088;23.0;10.0;0
13.2;0.52;2.2;0.071;35.0;9.0;1
7.7;0.0;2.6;0.081;14.0;9.3;0
13.2;0.52;2.2;0.071;35.0;9.0;1
8.3;0.13;2.9;0.096;63.0;9.1;1
8.3;0.13;2.6;0.085;24.0;9.2;1
9.4;0.48;4.6;0.072;20.0;12.2;1
8.8;0.41;3.3;0.092;52.0;10.5;1
10.1;0.37;5.1;0.11;65.0;10.4;1
6.3;0.19;3.2;0.075;39.0;12.7;1
8.8;0.54;2.5;0.083;57.0;9.2;0
13.2;0.55;2.7;0.081;16.0;9.4;0
7.5;0.0;2.4;0.077;29.0;10.0;1
8.2;0.38;1.5;0.058;29.0;9.8;0
9.2;0.18;2.2;0.148;103.0;10.2;1
9.6;0.5;2.3;0.079;71.0;9.7;0
9.6;0.5;2.3;0.079;71.0;9.7;0
11.5;0.51;2.2;0.079;28.0;9.8;1
11.4;0.5;2.7;0.122;17.0;10.2;0
11.3;0.41;2.3;0.088;16.0;9.3;0
8.3;0.24;3.4;0.076;112.0;9.4;0
8.2;0.23;3.4;0.078;104.0;9.4;0
10.0;0.22;1.9;0.08;32.0;9.5;0
7.9;0.25;2.9;0.077;45.0;12.1;1
6.8;0.0;5.6;0.124;58.0;10.2;0
6.8;0.0;5.6;0.124;58.0;10.2;0
8.8;0.29;2.2;0.098;15.0;9.1;0
8.8;0.29;2.2;0.098;15.0;9.1;0
8.7;0.26;2.5;0.097;31.0;9.3;1
7.6;0.23;2.3;0.111;84.0;9.3;0
8.7;0.26;2.5;0.097;31.0;9.3;1
10.4;0.54;2.7;0.105;19.0;9.5;0
7.6;0.14;3.0;0.087;43.0;10.5;1
10.1;0.22;3.4;0.105;86.0;11.3;0
7.9;0.21;1.9;0.073;102.0;9.5;0
8.7;0.0;1.4;0.065;33.0;9.7;0
9.6;0.28;2.4;0.086;147.0;9.4;0
9.5;0.27;2.3;0.084;145.0;9.4;0
7.7;0.12;2.2;0.143;23.0;10.2;1
8.9;0.35;1.9;0.067;57.0;10.3;1
9.9;0.45;2.3;0.071;40.0;9.4;0
9.5;0.44;2.3;0.071;68.0;9.5;0
9.9;0.45;2.3;0.071;40.0;9.4;0
9.5;0.44;2.3;0.071;68.0;9.5;0
9.9;0.45;2.3;0.071;40.0;9.4;0
7.8;0.1;6.0;0.115;11.0;10.1;1
7.3;0.05;3.6;0.107;20.0;10.1;0
8.3;0.01;2.2;0.07;14.0;11.0;0
8.7;0.3;2.8;0.066;28.0;11.2;1
6.7;0.27;8.6;0.068;148.0;11.3;1
10.7;0.39;2.2;0.106;32.0;9.6;0
9.8;0.25;2.5;0.104;155.0;11.2;0
15.9;0.65;7.5;0.096;71.0;14.9;0
9.4;0.59;2.8;0.079;30.0;12.0;1
8.6;0.47;2.4;0.074;29.0;9.5;0
9.7;0.17;2.9;0.087;53.0;9.4;0
10.7;0.39;2.2;0.106;32.0;9.6;0
12.0;0.59;1.4;0.073;42.0;10.5;1
7.2;0.07;1.4;0.074;20.0;9.6;1
7.1;0.02;4.4;0.096;13.0;11.0;0
7.2;0.07;1.4;0.074;20.0;9.6;1
7.5;0.31;1.6;0.08;42.0;9.0;0
7.2;0.06;1.6;0.076;27.0;9.6;1
10.1;0.46;1.8;0.05;13.0;10.2;1
12.1;0.52;2.0;0.092;54.0;10.2;0
9.4;0.14;2.0;0.084;48.0;9.7;0
8.3;0.36;1.8;0.222;16.0;9.5;1
11.3;0.45;2.0;0.082;15.0;9.2;1
10.0;0.43;2.3;0.059;31.0;11.0;0
11.3;0.45;2.0;0.082;15.0;9.2;1
6.9;0.24;2.5;0.083;45.0;10.0;0
8.2;0.21;1.7;0.074;13.0;9.5;0
9.8;0.34;2.0;0.079;151.0;9.5;0
8.2;0.21;1.7;0.074;13.0;9.5;0
10.8;0.41;2.2;0.084;17.0;9.3;1
9.3;0.39;2.2;0.064;31.0;10.2;0
10.8;0.41;2.2;0.084;17.0;9.3;1
8.6;0.11;2.3;0.084;31.0;9.9;0
8.3;0.1;2.6;0.081;87.0;10.0;0
10.8;0.45;3.3;0.06;49.0;9.6;0
13.3;0.58;1.9;0.07;40.0;9.0;0
8.0;0.23;2.2;0.094;29.0;10.2;1
8.5;0.31;2.25;0.078;58.0;9.8;0
8.1;0.23;2.6;0.059;15.0;11.3;0
9.8;0.32;2.3;0.078;152.0;9.4;0
8.1;0.23;2.6;0.059;15.0;11.3;0
7.1;0.18;1.8;0.07;40.0;9.1;0
9.1;0.23;3.1;0.095;38.0;9.7;0
7.7;0.04;1.6;0.039;9.0;9.4;0
8.1;0.48;1.8;0.157;17.0;9.4;0
7.4;0.0;4.25;0.097;14.0;10.7;0
9.2;0.24;2.6;0.087;93.0;9.8;0
8.6;0.51;2.0;0.422;62.0;9.0;0
9.0;0.32;2.8;0.084;122.0;9.4;0
9.0;0.31;2.7;0.084;125.0;9.4;0
5.1;0.02;1.3;0.034;44.0;12.8;1
7.0;0.02;2.1;0.066;25.0;9.5;1
7.0;0.02;2.1;0.066;25.0;9.5;1
9.4;0.28;3.2;0.087;72.0;9.7;0
11.8;0.55;2.1;0.071;19.0;10.8;1
10.6;0.43;2.9;0.076;88.0;10.1;1
7.0;0.02;2.1;0.066;25.0;9.5;1
7.0;0.02;2.1;0.067;23.0;9.4;1
7.5;0.48;2.6;0.073;84.0;9.6;0
9.1;0.04;1.6;0.078;14.0;9.7;0
8.4;0.15;6.0;0.073;54.0;9.9;0
7.0;0.08;2.0;0.093;19.0;10.0;0
7.4;0.19;3.0;0.077;37.0;10.5;0
7.8;0.12;2.5;0.068;35.0;11.6;1
9.7;0.47;1.6;0.062;33.0;10.0;1
10.6;0.43;2.8;0.08;84.0;10.1;0
8.9;0.34;3.0;0.093;112.0;9.5;0
8.7;0.0;3.2;0.084;33.0;9.4;0
8.0;0.36;2.3;0.075;48.0;9.4;0
9.9;0.28;2.6;0.078;77.0;9.8;0
7.2;0.18;2.7;0.069;34.0;9.2;1
8.0;0.36;2.3;0.075;48.0;9.4;0
7.6;0.11;2.6;0.079;49.0;10.0;0
8.4;0.04;2.0;0.082;22.0;9.6;0
7.1;0.0;3.9;0.086;45.0;9.5;0
8.4;0.04;2.0;0.082;22.0;9.6;0
8.9;0.24;2.85;0.094;106.0;9.2;0
7.6;0.08;2.7;0.084;48.0;10.0;0
7.1;0.3;2.2;0.053;127.0;9.5;0
7.5;0.1;3.1;0.086;12.0;11.2;0
9.0;0.17;3.0;0.077;13.0;10.4;0
8.1;0.09;2.8;0.084;49.0;11.1;1
6.4;0.02;1.8;0.067;11.0;9.5;0
6.4;0.02;1.8;0.067;11.0;9.5;0
6.4;0.03;3.2;0.071;58.0;12.7;1
9.5;0.66;2.3;0.387;37.0;9.6;0
8.9;0.13;3.45;0.088;14.0;11.5;0
7.3;0.03;2.1;0.092;19.0;9.6;0
7.0;0.34;2.7;0.082;72.0;9.5;0
7.7;0.2;2.0;0.075;39.0;9.3;0
7.7;0.1;2.1;0.112;22.0;9.5;0
7.7;0.1;2.1;0.112;22.0;9.5;0
8.2;0.0;2.5;0.093;58.0;9.3;1
9.0;0.23;2.8;0.092;104.0;9.2;0
9.0;0.0;2.4;0.088;38.0;9.3;0
8.3;0.29;4.2;0.075;16.0;11.5;1
9.2;0.24;2.6;0.078;139.0;9.5;0
6.5;0.0;1.9;0.065;18.0;9.2;0
11.6;0.58;2.8;0.096;101.0;10.0;0
11.1;0.54;2.7;0.095;101.0;9.5;0
7.3;0.18;2.1;0.07;28.0;9.5;1
8.2;0.38;2.5;0.08;57.0;9.0;1
8.6;0.4;2.6;0.083;68.0;9.4;0
7.2;0.18;2.1;0.071;31.0;9.6;1
7.3;0.18;2.1;0.07;28.0;9.5;1
8.3;0.1;2.9;0.089;40.0;9.5;0
8.3;0.1;2.9;0.089;40.0;9.5;0
7.6;0.13;2.5;0.097;66.0;9.4;0
8.3;0.1;2.9;0.089;40.0;9.5;0
7.8;0.68;1.7;0.415;32.0;9.1;1
7.8;0.07;1.9;0.058;47.0;10.7;1
6.3;0.01;2.0;0.057;33.0;11.2;1
8.1;0.0;2.2;0.084;31.0;9.8;0
8.1;0.0;2.2;0.084;31.0;9.8;0
8.8;0.21;2.5;0.092;88.0;9.2;0
9.0;0.25;2.8;0.075;104.0;9.7;0
9.3;0.26;2.0;0.096;35.0;9.6;0
8.8;0.0;1.7;0.069;19.0;10.0;1
9.3;0.26;2.0;0.096;35.0;9.6;0
9.1;0.11;2.8;0.093;44.0;9.5;1
9.2;0.1;3.0;0.091;48.0;9.5;1
8.8;0.18;2.9;0.089;74.0;9.4;0
7.5;0.32;2.7;0.103;98.0;9.5;0
7.1;0.02;2.3;0.082;94.0;9.7;1
7.9;0.01;1.9;0.076;32.0;9.6;0
7.1;0.02;2.3;0.082;94.0;9.7;1
9.4;0.26;2.4;0.082;143.0;9.4;0
9.5;0.27;2.3;0.082;144.0;9.4;0
7.9;0.29;1.8;0.157;44.0;9.5;1
7.9;0.3;1.8;0.157;45.0;9.5;1
7.2;0.0;3.0;0.102;16.0;10.0;0
6.9;0.18;2.4;0.243;48.0;10.3;1
6.9;0.17;2.4;0.241;18.0;10.3;1
8.3;0.3;3.4;0.079;34.0;10.5;0
7.1;0.03;2.6;0.076;92.0;9.8;0
7.0;0.0;2.0;0.19;45.0;9.4;1
6.5;0.14;2.4;0.114;37.0;9.8;0
9.0;0.05;2.4;0.081;96.0;10.0;0
6.5;0.14;2.4;0.114;37.0;9.8;0
7.1;0.01;2.5;0.077;85.0;9.8;0
9.9;0.41;2.3;0.083;61.0;9.5;0
9.9;0.41;2.3;0.083;61.0;9.5;0
10.0;0.24;2.2;0.079;58.0;10.1;1
10.0;0.24;2.2;0.079;58.0;10.1;1
8.6;0.17;2.9;0.099;119.0;9.3;0
7.4;0.43;2.6;0.082;82.0;9.7;1
8.8;0.17;2.9;0.084;130.0;9.6;0
7.1;0.02;2.5;0.081;87.0;9.7;1
7.7;0.0;2.6;0.055;13.0;10.8;0
10.1;0.54;2.3;0.065;26.0;12.5;1
10.8;0.3;2.6;0.132;60.0;10.2;0
8.7;0.31;2.5;0.126;64.0;9.6;0
9.3;0.44;1.6;0.038;42.0;10.8;1
9.4;0.34;3.6;0.082;14.0;10.7;1
9.4;0.34;3.6;0.082;14.0;10.7;1
7.2;0.08;4.0;0.082;108.0;9.4;0
8.6;0.09;3.3;0.068;17.0;10.0;0
5.1;0.0;1.7;0.044;86.0;12.9;1
7.7;0.08;2.5;0.114;46.0;9.6;1
8.4;0.22;2.7;0.084;18.0;9.9;1
8.2;0.4;2.4;0.052;10.0;12.8;1
8.4;0.39;2.0;0.041;10.0;12.5;1
8.2;0.4;2.4;0.052;10.0;12.8;1
7.4;0.12;1.9;0.165;12.0;9.2;0
7.6;0.31;2.8;0.07;15.0;10.3;1
7.3;0.1;2.6;0.068;14.0;10.5;0
12.9;0.55;2.8;0.072;24.0;10.9;1
10.8;0.33;2.5;0.099;38.0;10.8;0
6.9;0.24;2.1;0.102;7.0;11.4;0
12.6;0.54;2.8;0.103;41.0;11.3;1
10.8;0.33;2.5;0.099;38.0;10.8;0
9.8;0.19;3.2;0.081;30.0;10.5;1
10.8;0.42;1.6;0.084;27.0;11.9;1
7.1;0.0;2.35;0.071;47.0;9.4;0
9.1;0.15;3.2;0.097;59.0;9.6;0
7.0;0.0;1.9;0.099;22.0;9.7;0
4.9;0.0;2.1;0.048;42.0;14.0;1
6.7;0.13;2.0;0.076;36.0;9.8;0
6.7;0.13;2.0;0.076;36.0;9.8;0
7.1;0.28;2.8;0.068;16.0;10.3;0
7.1;0.14;2.8;0.076;37.0;10.7;0
7.5;0.34;2.3;0.05;8.0;11.0;1
7.1;0.14;2.8;0.076;37.0;10.7;0
7.8;0.09;2.3;0.065;45.0;12.7;1
5.9;0.08;2.1;0.071;24.0;11.1;1
7.5;0.07;2.5;0.058;9.0;10.9;0
5.9;0.08;2.1;0.071;24.0;11.1;1
10.4;0.42;1.5;0.145;48.0;9.9;0
11.6;0.44;1.6;0.147;51.0;9.9;0
8.8;0.26;1.6;0.088;23.0;9.4;0
7.6;0.1;1.5;0.066;55.0;9.3;0
6.7;0.28;2.4;0.012;100.0;11.7;1
6.7;0.28;2.4;0.012;100.0;11.7;1
10.1;0.35;1.6;0.075;28.0;11.2;1
6.0;0.04;2.2;0.092;26.0;10.0;0
11.1;0.47;2.65;0.085;34.0;12.1;1
6.6;0.0;3.0;0.115;31.0;10.3;0
10.6;0.45;2.6;0.119;68.0;10.9;1
7.1;0.35;2.0;0.088;92.0;9.4;0
9.9;0.46;1.7;0.062;42.0;10.6;1
6.4;0.21;1.8;0.081;31.0;9.8;0
6.4;0.21;1.8;0.081;31.0;9.8;0
7.4;0.16;1.8;0.078;39.0;9.9;1
6.4;0.21;1.8;0.081;31.0;9.8;0
6.4;0.21;1.6;0.08;32.0;9.8;0
9.3;0.44;1.9;0.085;22.0;9.5;0
9.3;0.44;1.9;0.085;22.0;9.5;0
8.0;0.32;2.5;0.08;122.0;9.7;0
9.3;0.39;1.5;0.08;55.0;10.9;1
9.3;0.39;1.5;0.08;55.0;10.9;1
7.6;0.02;2.5;0.071;14.0;11.7;1
9.3;0.39;1.5;0.08;55.0;10.9;1
8.2;0.34;2.5;0.073;47.0;11.3;1
11.7;0.47;1.7;0.054;32.0;10.6;1
6.8;0.22;1.8;0.074;24.0;11.2;1
7.2;0.06;2.7;0.077;85.0;9.5;0
5.8;0.66;2.0;0.039;88.0;11.5;1
7.5;0.32;2.7;0.067;25.0;10.4;0
7.2;0.06;2.5;0.078;84.0;9.7;0
7.2;0.06;2.7;0.077;85.0;9.5;0
7.2;0.07;2.6;0.077;86.0;9.7;0
6.8;0.22;2.3;0.071;24.0;11.3;1
6.9;0.23;2.0;0.072;22.0;11.2;1
6.8;0.22;1.8;0.074;24.0;11.2;1
7.6;0.03;2.0;0.08;43.0;10.9;1
7.7;0.01;2.1;0.064;43.0;11.8;1
6.9;0.03;1.5;0.086;46.0;10.6;0
7.3;0.24;2.0;0.067;48.0;10.0;0
9.1;0.37;1.6;0.067;10.0;11.1;1
10.4;0.46;2.1;0.104;10.0;11.8;1
8.8;0.4;2.8;0.109;16.0;11.8;1
7.1;0.0;2.2;0.067;14.0;10.9;0
7.7;0.01;2.1;0.064;43.0;11.8;1
8.8;0.19;4.0;0.094;69.0;10.0;1
7.2;0.04;2.5;0.076;88.0;9.5;0
9.2;0.18;1.6;0.078;21.0;9.9;0
7.6;0.0;2.1;0.068;35.0;11.4;1
8.4;0.29;3.1;0.194;26.0;12.0;1
7.2;0.04;2.5;0.076;88.0;9.5;0
8.8;0.19;4.0;0.094;69.0;10.0;1
8.9;0.14;2.5;0.086;30.0;10.5;0
9.0;0.12;2.4;0.083;28.0;10.4;1
10.7;0.38;2.6;0.066;56.0;12.1;1
6.8;0.0;2.5;0.072;64.0;11.2;1
10.7;0.34;6.6;0.112;99.0;9.3;0
7.2;0.24;2.0;0.071;52.0;10.1;0
7.2;0.03;2.3;0.078;86.0;9.7;0
10.1;0.23;1.9;0.082;18.0;9.3;1
7.2;0.03;2.3;0.078;86.0;9.7;0
7.2;0.03;2.2;0.08;88.0;9.8;1
7.1;0.01;2.3;0.08;43.0;10.7;1
8.3;0.39;2.4;0.078;43.0;12.5;1
7.1;0.01;2.3;0.08;43.0;10.7;1
8.3;0.39;2.4;0.078;43.0;12.5;1
8.3;0.02;3.4;0.084;11.0;11.0;0
8.9;0.36;2.6;0.056;39.0;11.8;0
7.4;0.1;2.4;0.08;33.0;10.8;1
7.4;0.1;2.4;0.08;33.0;10.8;1
6.8;0.06;6.0;0.06;18.0;10.8;1
6.8;0.06;6.0;0.06;18.0;10.8;1
9.2;0.2;3.0;0.081;115.0;9.5;0
7.2;0.27;2.6;0.084;78.0;11.0;0
6.1;0.0;2.2;0.079;9.0;11.5;1
7.4;0.13;2.4;0.078;61.0;10.8;1
7.3;0.39;1.2;0.059;11.0;11.5;1
9.3;0.48;3.8;0.132;11.0;13.2;1
9.1;0.46;9.0;0.114;9.0;10.9;1
10.0;0.44;2.9;0.065;8.0;12.2;1
9.4;0.46;4.6;0.094;10.0;12.2;1
7.3;0.39;1.2;0.059;11.0;11.5;1
8.6;0.4;2.2;0.079;6.0;11.9;1
5.3;0.19;1.5;0.161;62.0;11.0;0
6.8;0.31;8.8;0.084;45.0;10.1;1
8.4;0.32;2.2;0.081;79.0;11.0;1
8.4;0.12;1.8;0.072;46.0;11.8;1
9.6;0.37;2.3;0.091;23.0;10.5;0
8.4;0.32;2.2;0.081;79.0;11.0;1
8.4;0.12;1.8;0.072;46.0;11.8;1
6.8;0.31;8.8;0.084;45.0;10.1;1
8.6;0.27;2.3;0.055;28.0;11.2;0
8.6;0.36;1.9;0.064;77.0;11.0;1
9.4;0.33;2.3;0.061;73.0;10.2;1
8.4;0.19;2.2;0.093;75.0;9.2;0
8.6;0.27;2.3;0.055;28.0;11.2;0
8.7;0.38;3.3;0.063;19.0;12.0;1
6.6;0.01;1.9;0.08;25.0;10.5;0
7.4;0.01;2.0;0.074;38.0;9.8;0
7.6;0.29;1.9;0.078;66.0;9.5;1
7.4;0.01;2.0;0.074;38.0;9.8;0
6.6;0.01;1.9;0.08;25.0;10.5;0
8.8;0.38;2.3;0.06;72.0;11.8;1
8.8;0.38;2.3;0.06;72.0;11.8;1
12.0;0.5;1.4;0.071;26.0;10.4;0
7.2;0.38;2.8;0.068;42.0;12.9;1
6.2;0.17;1.6;0.073;11.0;11.4;0
9.6;0.52;2.2;0.074;25.0;12.4;1
9.9;0.49;5.0;0.082;17.0;12.5;1
10.1;0.4;2.6;0.092;52.0;10.0;1
9.8;0.34;2.3;0.094;45.0;9.7;1
8.3;0.49;3.8;0.09;24.0;12.1;1
10.2;0.42;2.0;0.071;20.0;11.1;1
10.2;0.58;4.1;0.092;24.0;12.0;1
8.3;0.48;2.1;0.093;12.0;12.4;1
8.9;0.45;1.8;0.075;21.0;11.9;1
8.9;0.45;1.8;0.075;21.0;11.9;1
8.9;0.45;1.8;0.075;21.0;11.9;1
8.3;0.48;2.1;0.093;12.0;12.4;1
8.2;0.4;2.2;0.058;10.0;11.2;1
10.2;0.48;2.1;0.052;9.0;12.1;1
7.6;0.4;2.7;0.082;11.0;12.2;1
8.5;0.52;1.9;0.09;23.0;10.4;0
9.0;0.52;2.1;0.111;10.0;11.3;1
9.5;0.52;2.0;0.088;51.0;11.1;1
6.4;0.12;2.3;0.12;36.0;11.3;1
8.0;0.05;2.0;0.089;32.0;10.0;0
8.5;0.27;1.9;0.058;38.0;11.1;1
7.1;0.14;1.6;0.078;18.0;9.3;0
6.6;0.02;2.1;0.115;16.0;9.5;0
8.8;0.39;2.0;0.1;27.0;11.2;1
8.5;0.27;1.9;0.058;38.0;11.1;1
8.3;0.4;2.4;0.065;48.0;11.0;1
9.0;0.41;2.4;0.103;10.0;11.9;1
8.5;0.2;2.1;0.097;113.0;9.2;0
9.0;0.43;2.4;0.068;46.0;12.2;1
6.7;0.09;2.9;0.079;22.0;10.2;0
10.4;0.48;1.9;0.066;10.0;10.9;1
10.4;0.48;1.9;0.066;10.0;10.9;1
10.1;0.5;2.4;0.104;13.0;11.6;1
8.5;0.44;1.7;0.079;12.0;10.7;0
8.8;0.41;5.9;0.073;13.0;12.1;1
7.2;0.3;2.1;0.083;72.0;9.4;0
7.2;0.3;2.1;0.083;72.0;9.4;0
8.4;0.29;2.6;0.109;119.0;9.1;0
7.0;0.32;3.6;0.061;29.0;11.3;1
12.2;0.49;1.4;0.075;6.0;10.4;0
9.1;0.3;1.9;0.065;17.0;10.5;1
9.5;0.26;1.9;0.079;28.0;10.0;0
7.3;0.32;2.1;0.07;70.0;12.9;1
9.1;0.3;1.9;0.065;17.0;10.5;1
12.2;0.49;1.4;0.075;6.0;10.4;0
7.4;0.0;2.0;0.064;11.0;11.3;1
9.8;0.39;1.4;0.066;7.0;11.4;1
7.1;0.3;1.6;0.08;70.0;9.4;0
7.7;0.12;1.7;0.097;27.0;9.4;0
9.7;0.4;1.5;0.073;21.0;10.9;1
7.7;0.12;1.7;0.097;27.0;9.4;0
7.1;0.28;2.0;0.082;68.0;9.4;0
6.5;0.1;2.0;0.076;47.0;9.4;1
7.1;0.28;2.0;0.082;68.0;9.4;0
10.0;0.45;2.5;0.092;88.0;9.4;0
7.7;0.06;2.0;0.079;41.0;10.1;1
5.6;0.0;2.2;0.087;11.0;12.8;1
5.6;0.0;2.2;0.087;11.0;12.8;1
8.9;0.34;1.4;0.05;10.0;9.1;1
6.4;0.0;1.65;0.055;12.0;12.9;1
7.5;0.3;2.2;0.062;12.0;11.5;1
9.9;0.38;1.5;0.058;47.0;10.6;1
9.1;0.33;2.05;0.063;27.0;11.7;1
6.8;0.32;1.8;0.067;8.0;12.8;1
8.2;0.29;1.6;0.081;45.0;10.3;0
6.8;0.32;1.8;0.067;8.0;12.8;1
9.1;0.33;2.05;0.063;27.0;11.7;1
9.1;0.34;2.0;0.064;25.0;11.7;1
8.9;0.4;3.6;0.11;24.0;12.0;1
9.6;0.36;2.8;0.116;55.0;10.9;0
8.9;0.45;1.7;0.067;12.0;12.3;1
8.9;0.31;2.0;0.088;19.0;10.4;1
7.7;0.15;2.1;0.102;32.0;10.0;0
7.5;0.0;1.6;0.092;31.0;10.0;1
8.0;0.16;2.0;0.12;7.0;11.2;1
10.5;0.46;2.2;0.075;27.0;11.4;1
8.9;0.4;2.2;0.068;28.0;12.6;1
8.0;0.37;0.9;0.049;109.0;12.7;1
8.0;0.37;0.9;0.049;109.0;12.7;1
7.0;0.14;1.8;0.078;23.0;10.4;0
11.3;0.66;2.4;0.123;8.0;11.9;1
11.3;0.66;2.4;0.123;8.0;11.9;1
7.0;0.09;2.1;0.062;9.0;10.5;0
8.2;0.42;2.3;0.098;9.0;12.3;1
7.7;0.01;1.8;0.088;18.0;10.5;1
8.6;0.0;2.8;0.095;43.0;10.4;1
7.9;0.32;1.9;0.066;36.0;12.6;1
6.4;0.0;2.2;0.065;52.0;11.6;0
7.2;0.21;2.5;0.075;68.0;10.1;1
7.7;0.01;1.8;0.088;18.0;10.5;1
7.1;0.0;2.1;0.091;14.0;11.5;1
7.3;0.01;1.8;0.093;15.0;11.0;1
8.1;0.0;4.1;0.095;14.0;9.6;0
7.5;0.08;2.6;0.089;27.0;10.4;1
8.9;0.18;2.5;0.077;48.0;9.7;1
10.1;0.34;2.4;0.085;17.0;10.6;1
7.6;0.34;2.5;0.082;35.0;12.5;1
7.3;0.1;1.8;0.074;56.0;9.2;0
8.7;0.41;6.2;0.078;42.0;12.6;1
8.9;0.21;2.2;0.088;39.0;11.1;1
7.4;0.0;2.2;0.088;32.0;10.2;0
6.9;0.19;1.7;0.079;26.0;9.8;1
8.9;0.21;2.2;0.088;39.0;11.1;1
9.5;0.41;8.9;0.069;39.0;10.9;1
6.4;0.33;3.3;0.046;53.0;12.2;1
6.9;0.0;1.4;0.07;38.0;11.4;1
7.6;0.0;1.7;0.076;45.0;10.7;1
7.1;0.17;1.8;0.082;51.0;10.4;0
9.3;0.36;1.7;0.081;14.0;10.9;1
9.3;0.36;1.8;0.084;17.0;10.8;1
7.1;0.17;1.8;0.082;51.0;10.4;0
8.5;0.59;1.4;0.414;45.0;9.2;0
5.6;0.05;2.4;0.073;25.0;12.9;0
8.3;0.42;2.3;0.07;20.0;12.7;1
8.2;0.27;2.0;0.095;77.0;9.1;1
8.2;0.27;2.0;0.095;77.0;9.1;1
8.9;0.53;4.0;0.101;10.0;12.1;1
7.6;0.25;3.9;0.104;90.0;9.1;0
9.9;0.57;2.4;0.093;52.0;11.6;1
8.9;0.53;4.0;0.101;10.0;12.1;1
11.6;0.57;1.8;0.074;8.0;9.9;1
9.1;0.5;1.8;0.071;16.0;12.5;1
8.0;0.44;1.9;0.098;15.0;11.4;1
10.2;0.65;2.4;0.075;17.0;11.8;1
8.2;0.09;2.0;0.067;10.0;11.8;1
7.7;0.18;2.4;0.083;20.0;10.2;1
6.6;0.08;2.4;0.07;26.0;12.5;1
11.1;0.53;2.2;0.06;10.0;10.9;1
11.1;0.53;2.2;0.06;10.0;10.9;1
8.0;0.35;2.8;0.086;52.0;10.8;0
9.3;0.45;1.5;0.057;37.0;11.1;1
